Wall time,Step,Value
1688464545.646072,14678,-620.8666381835938
1688464548.0536382,14688,-620.7988891601562
1688464570.435819,14780,-620.7490844726562
1688464577.676467,14810,-620.7581176757812
1688464593.2613847,14874,-620.7545776367188
1688464597.8461316,14893,-620.7921752929688
1688464645.4897983,15091,-620.7930297851562
1688464667.4112108,15181,-620.7476806640625
1688464688.1198645,15267,-620.777099609375
1688464702.1254332,15325,-620.8241577148438
1688464738.0304728,15474,-620.7861328125
1688464738.502212,15476,-620.7952270507812
1688464746.2116075,15508,-620.7760009765625
1688464801.9184258,15741,-620.8153686523438
1688464807.6481123,15765,-620.7974853515625
1688464862.5244493,15994,-620.8024291992188
1688464886.834478,16096,-620.8024291992188
1688464891.8530653,16117,-620.7952270507812
1688464923.6331291,16250,-620.7435302734375
1688464940.8810322,16322,-620.801025390625
1688464946.1938326,16344,-620.79345703125
1688464961.2615628,16407,-620.812744140625
1688464984.9462628,16506,-620.7662963867188
1688465031.0081573,16698,-620.797607421875
1688465057.9351916,16810,-620.79150390625
1688465069.5052693,16858,-620.8031005859375
1688465079.7618573,16900,-620.8255615234375
1688465119.8547046,17067,-620.7694091796875
1688465127.425471,17098,-620.7788696289062
1688465161.6559854,17240,-620.7677001953125
1688465174.2742615,17293,-620.8551635742188
1688465180.4138534,17318,-620.7998657226562
1688465185.585033,17340,-620.8230590820312
1688465211.0591276,17445,-620.7923583984375
1688465235.110204,17544,-620.8067626953125
1688465238.4871793,17558,-620.8131713867188
1688465245.5074167,17587,-620.79150390625
1688465247.4452374,17595,-620.8416137695312
1688465254.4086275,17624,-620.7516479492188
1688465334.6282308,17954,-620.8240966796875
1688465350.2434983,18019,-620.7882690429688
1688465361.539308,18066,-620.7957763671875
1688465409.7953384,18265,-620.8243408203125
1688465422.8225217,18319,-620.7796630859375
1688465454.7691407,18452,-620.7783813476562
1688465488.2985296,18593,-620.8189086914062
1688465548.428026,18846,-620.783203125
1688465575.4453437,18959,-620.8140869140625
1688465613.3520095,19117,-620.7733154296875
1688465626.196106,19170,-620.811767578125
1688465650.4692335,19272,-620.7985229492188
1688465712.9526396,19532,-620.7659912109375
1688465738.9621272,19641,-620.793701171875
1688465742.3819861,19655,-620.80908203125
1688465761.127989,19732,-620.7689819335938
1688465789.320661,19847,-620.81396484375
1688465811.8165383,19939,-620.7529907226562
1688465825.5697808,19996,-620.8950805664062
1688465835.3404133,20036,-620.7652587890625
1688465839.6119974,20054,-620.7965698242188
1688465841.7742186,20063,-620.7643432617188
1688465860.2153246,20139,-620.8524169921875
1688465885.9448042,20245,-620.7694702148438
1688465886.674853,20248,-620.7857666015625
1688465887.870657,20253,-620.7864990234375
1688465905.1679862,20324,-620.757080078125
1688465933.9162202,20441,-620.7791748046875
1688465944.9859781,20486,-620.7713623046875
1688465958.1447623,20540,-620.8419189453125
1688465958.3981833,20541,-620.7852172851562
1688465963.787261,20563,-620.8440551757812
1688465967.7476797,20579,-620.7564086914062
1688466017.501703,20780,-620.7672729492188
1688466018.2556877,20783,-620.8136596679688
1688466030.4211743,20832,-620.7677001953125
1688466036.3642905,20856,-620.8494873046875
1688466092.000598,21081,-620.7591552734375
1688466107.798375,21145,-620.8001708984375
1688466123.7088983,21210,-620.7557983398438
1688466129.4295628,21233,-620.7916259765625
1688466150.1830966,21317,-620.873779296875
1688466150.914143,21320,-620.8455200195312
1688466152.1438563,21325,-620.8087768554688
1688466168.873165,21392,-620.7573852539062
1688466173.295327,21410,-620.8114013671875
1688466201.217701,21524,-620.8358154296875
1688466240.2763124,21682,-620.8028564453125
1688466268.2585266,21796,-620.8387451171875
1688466274.663409,21822,-620.8148193359375
1688466279.8485513,21843,-620.8568725585938
1688466281.3535285,21849,-620.8001098632812
1688466320.3353455,22007,-620.7843627929688
1688466378.523831,22246,-620.8048706054688
1688466389.8890345,22293,-620.807373046875
1688466399.013649,22331,-620.8126220703125
1688466405.9361467,22359,-620.7738647460938
1688466433.7797325,22473,-620.8153686523438
1688466505.3703983,22766,-620.8157348632812
1688466523.7343185,22841,-620.8696899414062
1688466545.8063285,22931,-620.7741088867188
1688466596.6614122,23139,-620.8175659179688
1688466599.0899217,23149,-620.7567749023438
1688466607.1832914,23183,-620.8130493164062
1688466609.6297567,23193,-620.806884765625
1688466616.0216694,23219,-620.76806640625
1688466626.9843705,23264,-620.7749633789062
1688466632.6372626,23287,-620.83349609375
1688466651.0979247,23362,-620.7874145507812
1688466667.6786103,23428,-620.826904296875
1688466695.3177419,23541,-620.858642578125
1688466727.22347,23671,-620.779541015625
1688466729.9282415,23682,-620.8280029296875
1688466734.8720284,23702,-620.8256225585938
1688466793.0664968,23939,-620.7905883789062
1688466827.9273276,24080,-620.7766723632812
1688466837.5127096,24119,-620.8276977539062
1688466844.6256993,24148,-620.8410034179688
1688466866.1651328,24235,-620.7610473632812
1688466877.9576163,24283,-620.7987060546875
1688466878.4493022,24285,-620.8218994140625
1688466887.7883487,24323,-620.7786254882812
1688466893.483122,24346,-620.8590698242188
1688466945.783344,24558,-620.8453979492188
1688466961.3846476,24622,-620.8104858398438
1688466985.6059136,24720,-620.8474731445312
1688466987.5686677,24728,-620.7626953125
1688467030.4287918,24902,-620.7845458984375
1688467038.4992225,24935,-620.8153686523438
1688467056.8292332,25009,-620.779296875
1688467066.5402794,25048,-620.7593383789062
1688467087.745614,25134,-620.7975463867188
1688467111.9409487,25232,-620.7454833984375
1688467117.365457,25254,-620.8742065429688
1688467136.7306957,25333,-620.8369750976562
1688467151.2309422,25392,-620.7757568359375
1688467179.3148842,25506,-620.8303833007812
1688467183.0528948,25521,-620.8458862304688
1688467223.8693173,25687,-620.796142578125
1688467254.5882225,25813,-620.802734375
1688467263.047608,25848,-620.7514038085938
1688467281.1342702,25922,-620.8335571289062
1688467316.7680342,26067,-620.7579345703125
1688467322.8996472,26092,-620.8072509765625
1688467338.5927057,26156,-620.7876586914062
1688467342.025532,26170,-620.8412475585938
1688467374.9635084,26304,-620.7789306640625
1688467399.448063,26404,-620.770751953125
1688467415.8801463,26471,-620.7865600585938
1688467495.954139,26798,-620.7722778320312
1688467496.2004986,26799,-620.8007202148438
1688467503.281555,26828,-620.7905883789062
1688467503.7682588,26830,-620.7687377929688
1688467528.1570733,26929,-620.78369140625
1688467580.5461307,27143,-620.8002319335938
1688467582.0401373,27149,-620.765625
1688467583.5002353,27155,-620.7908935546875
1688467584.484605,27159,-620.8318481445312
1688467584.7319436,27160,-620.8128662109375
1688467613.1109517,27275,-620.8289794921875
1688467669.852305,27506,-620.7573852539062
1688467693.9688506,27604,-620.78076171875
1688467696.4222934,27614,-620.7644653320312
1688467698.1397023,27621,-620.7670288085938
1688467702.5748494,27639,-620.8071899414062
1688467748.6816244,27826,-620.858154296875
1688467771.1156662,27917,-620.8347778320312
1688467779.4882917,27951,-620.7623291015625
1688467783.8845406,27969,-620.8303833007812
1688467853.6770122,28252,-620.77978515625
1688467870.908958,28322,-620.8203125
1688467899.9822562,28439,-620.777099609375
1688467903.1777244,28452,-620.8024291992188
1688467925.9259188,28544,-620.7659912109375
1688467933.0359163,28573,-620.8198852539062
1688467942.6671748,28612,-620.8286743164062
1688468032.053293,28971,-620.7776489257812
1688468038.4731302,28997,-620.8021850585938
1688468048.6190147,29038,-620.7632446289062
1688468054.7336714,29063,-620.7910766601562
1688468058.6512015,29079,-620.8241577148438
1688468088.7816741,29202,-620.773681640625
1688468103.810508,29264,-620.827392578125
1688468154.5189838,29472,-620.787109375
1688468158.4534686,29488,-620.7468872070312
1688468176.6308875,29562,-620.8482666015625
1688468188.8364701,29612,-620.7884521484375
1688468222.21925,29748,-620.7724609375
1688468242.055236,29829,-620.8536987304688
1688468242.2786393,29830,-620.80810546875
1688468284.2325118,30001,-620.8008422851562
1688468285.4702044,30006,-620.7737426757812
1688468291.910991,30032,-620.7723999023438
1688468306.8979363,30093,-620.816650390625
1688468326.9383764,30175,-620.8635864257812
1688468343.8112812,30244,-620.8319702148438
1688468353.891341,30285,-620.7710571289062
1688468364.4581008,30328,-620.8052368164062
1688468396.692949,30460,-620.7974243164062
1688468399.393731,30471,-620.7542724609375
1688468434.274508,30613,-620.8232421875
1688468457.3647964,30707,-620.7943725585938
1688468460.7966247,30721,-620.8208618164062
1688468465.17991,30739,-620.8425903320312
1688468555.1334982,31106,-620.8187866210938
1688468629.3212235,31407,-620.7977905273438
1688468638.51565,31444,-620.7914428710938
1688468700.8570366,31697,-620.7483520507812
1688468728.3754895,31809,-620.75244140625
1688468744.321871,31874,-620.77880859375
1688468746.0233233,31881,-620.7623901367188
1688468747.977102,31889,-620.7554321289062
1688468759.8812866,31937,-620.7742309570312
1688468762.0724306,31946,-620.7578735351562
1688468776.5806558,32005,-620.8018798828125
1688468779.7462342,32018,-620.781005859375
1688468818.2144027,32175,-620.7691040039062
1688468826.351655,32208,-620.870361328125
1688468882.7319717,32436,-620.7915649414062
1688468909.0975475,32543,-620.8176879882812
1688468937.460703,32658,-620.8015747070312
1688468949.6022544,32707,-620.806884765625
1688468963.3564935,32763,-620.760009765625
1688468995.6960626,32895,-620.880126953125
1688468997.66879,32903,-620.7745971679688
1688469029.7061663,33035,-620.8341064453125
1688469058.2788029,33153,-620.7817993164062
1688469065.0157979,33180,-620.75341796875
1688469065.4985075,33182,-620.7913208007812
1688469087.5455844,33272,-620.7926025390625
1688469104.6478763,33342,-620.766357421875
1688469112.9117894,33376,-620.822021484375
1688469119.867201,33404,-620.8598022460938
1688469152.9976559,33540,-620.7828369140625
1688469175.4426742,33632,-620.7982177734375
1688469199.1523025,33729,-620.7704467773438
1688469201.3733664,33738,-620.7744750976562
1688469204.3633754,33750,-620.8014526367188
1688469208.9660742,33769,-620.7649536132812
1688469213.0721002,33786,-620.77197265625
1688469226.2289371,33840,-620.845947265625
1688469229.1531217,33852,-620.7776489257812
1688469235.2867289,33877,-620.7830810546875
1688469244.3953848,33914,-620.7665405273438
1688469269.6020172,34018,-620.8031616210938
1688469274.2067108,34037,-620.7839965820312
1688469299.866133,34142,-620.88037109375
1688469353.9874876,34363,-620.8217163085938
1688469359.1726296,34384,-620.7738647460938
1688469372.6396375,34439,-620.78955078125
1688469393.7866645,34526,-620.8963012695312
1688469394.0250268,34527,-620.7446899414062
1688469403.5146646,34565,-620.8171997070312
1688469412.8447294,34600,-620.756591796875
1688469461.4099343,34784,-620.8182373046875
1688469543.3230112,35116,-620.84619140625
1688469558.5223885,35178,-620.780029296875
1688469577.354059,35255,-620.775146484375
1688469596.7173088,35334,-620.7719116210938
1688469601.9493256,35355,-620.84765625
1688469603.936016,35363,-620.7767333984375
1688469607.5992258,35378,-620.792724609375
1688469633.5359068,35484,-620.7835693359375
1688469655.3775325,35574,-620.77001953125
1688469703.5467942,35772,-620.763427734375
1688469705.2512395,35779,-620.7445068359375
1688469721.3661702,35845,-620.8211059570312
1688469722.5839164,35850,-620.7774658203125
1688469748.0438707,35954,-620.7964477539062
1688469752.1598704,35971,-620.787353515625
1688469768.4403589,36038,-620.8416137695312
1688469819.7542167,36247,-620.790283203125
1688469823.678729,36263,-620.7747192382812
1688469826.889148,36276,-620.7574462890625
1688469841.6955764,36337,-620.8548583984375
1688469898.4309444,36570,-620.7431030273438
1688469913.1206841,36630,-620.8585815429688
1688469920.4291513,36660,-620.8040161132812
1688469924.9839783,36679,-620.8326416015625
1688469946.632121,36768,-620.8038330078125
1688469959.433907,36820,-620.777587890625
1688469967.1732225,36851,-620.8472900390625
1688469981.1438854,36908,-620.800048828125
1688470017.0570614,37054,-620.7590942382812
1688470045.6675966,37170,-620.7722778320312
1688470053.732044,37203,-620.7932739257812
1688470115.8530183,37456,-620.7919311523438
1688470124.1658018,37490,-620.802978515625
1688470192.028431,37765,-620.746826171875
1688470219.4092522,37877,-620.7446899414062
1688470297.0288055,38193,-620.8134155273438
1688470310.5466769,38248,-620.8055419921875
1688470314.2168684,38263,-620.7509765625
1688470339.4793522,38366,-620.827880859375
1688470357.5430741,38440,-620.7703247070312
1688470361.469579,38456,-620.8353881835938
1688470364.1793385,38467,-620.7545776367188
1688470392.2004483,38581,-620.82421875
1688470407.222301,38642,-620.7772827148438
1688470407.4646537,38643,-620.8038330078125
1688470421.726537,38701,-620.7718505859375
1688470426.4668674,38721,-620.781982421875
1688470456.03983,38841,-620.7406616210938
1688470490.6473377,38982,-620.7755126953125
1688470496.56951,39006,-620.7986450195312
