Wall time,Step,Value
1682942600.6998796,1,-846.6580200195312
1682942600.7527037,2,-846.6404418945312
1682942600.7841206,3,-843.759033203125
1682942600.8180077,4,-847.3148803710938
1682942600.8548849,5,-846.02880859375
1682942600.8852994,6,-845.6145629882812
1682942601.0906453,7,-796.6236572265625
1682942601.4709353,8,-846.5865478515625
1682942601.825806,9,-1215.57275390625
1682942602.1916497,10,-1522.728515625
1682942602.551987,11,-3264.835205078125
1682942602.915834,12,-2922.14306640625
1682942603.292929,13,-1425.0323486328125
1682942603.6672146,14,-931.6166381835938
1682942604.047631,15,-1058.791259765625
1682942604.437502,16,-2247.46630859375
1682942604.8165576,17,-2330.782958984375
1682942605.1818857,18,-1910.4417724609375
1682942605.5457354,19,-927.5391235351562
1682942605.8966255,20,-625.2645874023438
1682942606.2579665,21,-1116.59130859375
1682942606.6038728,22,-1173.3416748046875
1682942606.9612262,23,-1021.1187744140625
1682942607.326075,24,-911.8336791992188
1682942607.6865368,25,-523.641357421875
1682942608.0374172,26,-432.396484375
1682942608.394285,27,-2980.619873046875
1682942608.7695837,28,-5261.68603515625
1682942609.1394138,29,-4269.71630859375
1682942609.5002687,30,-3286.6533203125
1682942609.8476562,31,-3284.73779296875
1682942610.204529,32,-3805.73779296875
1682942610.55789,33,-2184.763916015625
1682942610.9178228,34,-498.29193115234375
1682942611.2721848,35,-335.543701171875
1682942611.620086,36,-376.1462097167969
1682942611.9804273,37,-333.5522766113281
1682942612.3343086,38,-334.7760925292969
1682942612.6956556,39,-336.8286437988281
1682942613.0627673,40,-334.550048828125
1682942613.442617,41,-333.8682861328125
1682942613.7899928,42,-333.3251647949219
1682942614.1434803,43,-333.3671875
1682942614.4958534,44,-332.8489074707031
1682942614.8467386,45,-333.26019287109375
1682942615.2056007,46,-333.1651916503906
1682942615.5510786,47,-332.94390869140625
1682942615.901855,48,-332.95941162109375
1682942616.2488966,49,-333.4410095214844
1682942616.598352,50,-608.8037719726562
1682942616.947733,51,-435.96563720703125
1682942617.2926335,52,-482.4533996582031
1682942617.6370301,53,-374.27252197265625
1682942617.977947,54,-489.13421630859375
