Wall time,Step,Value
1688447319.7343755,24080,-628.412841796875
1688447328.6198366,24119,-628.398193359375
1688447335.2270346,24148,-628.4476318359375
1688447355.0990465,24235,-628.4105834960938
1688447365.9749725,24283,-628.4273071289062
1688447366.4169466,24285,-628.4609375
1688447375.0753121,24323,-628.4033203125
1688447380.3361952,24346,-628.4686889648438
1688447428.6572335,24558,-628.4359130859375
1688447443.2359226,24622,-628.3942260742188
1688447465.6703832,24720,-628.4942626953125
1688447467.5412881,24728,-628.3888549804688
1688447506.760604,24902,-628.3983154296875
1688447514.0930932,24935,-628.4481201171875
1688447530.5695672,25009,-628.3839111328125
1688447539.233676,25048,-628.3639526367188
1688447559.3495047,25134,-628.40966796875
1688447581.048773,25232,-628.3634033203125
1688447586.0412433,25254,-628.4651489257812
1688447603.6768873,25333,-628.4705200195312
1688447616.9055161,25392,-628.3614501953125
1688447642.3913386,25506,-628.4476928710938
1688447645.6895454,25521,-628.4426879882812
1688447682.398079,25687,-628.4058837890625
1688447710.8281116,25813,-628.4198608398438
1688447718.7530496,25848,-628.37548828125
1688447735.832918,25922,-628.4071655273438
1688447769.939539,26067,-628.3697509765625
1688447775.6923108,26092,-628.4470825195312
1688447790.251271,26156,-628.4005737304688
1688447793.423763,26170,-628.4320678710938
1688447824.2074716,26304,-628.3961791992188
1688447846.5802968,26404,-628.42626953125
1688447861.806279,26471,-628.3965454101562
1688447935.678642,26798,-628.3851928710938
1688447935.9140418,26799,-628.4125366210938
1688447942.3098688,26828,-628.405029296875
1688447942.7781906,26830,-628.4015502929688
1688447965.1242902,26929,-628.3937377929688
1688448015.1889355,27143,-628.4099731445312
1688448016.5824432,27149,-628.3798828125
1688448017.8806632,27155,-628.416259765625
1688448018.792854,27159,-628.4457397460938
1688448019.0352356,27160,-628.442626953125
1688448045.342145,27275,-628.41650390625
1688448098.2702599,27506,-628.3895874023438
1688448121.0973039,27604,-628.4072875976562
1688448123.3783634,27614,-628.3666381835938
1688448124.959361,27621,-628.3997192382812
1688448129.1489122,27639,-628.3970336914062
1688448172.2776263,27826,-628.4419555664062
1688448192.8571045,27917,-628.415283203125
1688448200.460188,27951,-628.3768310546875
1688448204.4743001,27969,-628.451416015625
1688448268.0751915,28252,-628.3651123046875
1688448284.038124,28322,-628.3974609375
1688448310.475414,28439,-628.3997802734375
1688448313.4146051,28452,-628.3906860351562
1688448334.227816,28544,-628.3585815429688
1688448340.8199184,28573,-628.3898315429688
1688448349.6745923,28612,-628.4529418945312
1688448431.2719285,28971,-628.3977661132812
1688448437.1116219,28997,-628.4157104492188
1688448446.3676293,29038,-628.3684692382812
1688448452.009084,29063,-628.3969116210938
1688448455.5823133,29079,-628.4570922851562
1688448483.3174114,29202,-628.3753051757812
1688448497.337172,29264,-628.4192504882812
1688448544.5131726,29472,-628.41162109375
1688448548.1971946,29488,-628.3856201171875
1688448565.0559115,29562,-628.4191284179688
1688448576.4415607,29612,-628.3872680664062
1688448607.2773693,29748,-628.382080078125
1688448625.667371,29829,-628.4387817382812
1688448625.8835623,29830,-628.4133911132812
1688448665.1840484,30001,-628.4097290039062
1688448666.3597407,30006,-628.380859375
1688448672.3649733,30032,-628.3801879882812
1688448686.5925167,30093,-628.4276123046875
1688448705.5047004,30175,-628.4395141601562
1688448721.2651975,30244,-628.4304809570312
1688448730.6473427,30285,-628.396240234375
1688448740.4150007,30328,-628.427978515625
1688448770.385115,30460,-628.4224853515625
1688448772.904325,30471,-628.3760375976562
1688448805.1398685,30613,-628.4271240234375
1688448826.0939238,30707,-628.3654174804688
1688448829.1437619,30721,-628.4061279296875
1688448833.0942986,30739,-628.4482421875
1688448914.0594933,31106,-628.395751953125
1688448982.2309394,31407,-628.3836669921875
1688448990.5836556,31444,-628.4109497070312
1688449047.986516,31697,-628.3765869140625
1688449073.3905902,31809,-628.3984985351562
1688449088.2173305,31874,-628.411865234375
1688449089.7889585,31881,-628.3751831054688
1688449091.590326,31889,-628.367431640625
1688449102.488121,31937,-628.4071655273438
1688449104.5082474,31946,-628.3574829101562
1688449117.9214222,32005,-628.4113159179688
1688449120.839225,32018,-628.4008178710938
1688449156.410505,32175,-628.393310546875
1688449163.9542701,32208,-628.464111328125
1688449216.1037061,32436,-628.3924560546875
1688449240.6261818,32543,-628.4172973632812
1688449266.718209,32658,-628.3751220703125
1688449277.9220374,32707,-628.4326171875
1688449290.8121517,32763,-628.4100952148438
1688449320.6237054,32895,-628.5098266601562
1688449322.4731169,32903,-628.4009399414062
1688449352.4052963,33035,-628.46923828125
1688449379.315808,33153,-628.3751220703125
1688449385.5143068,33180,-628.3790283203125
1688449385.9596932,33182,-628.4224243164062
1688449407.531243,33272,-628.4113159179688
1688449423.6412804,33342,-628.3689575195312
1688449431.2881217,33376,-628.4174194335938
1688449437.564409,33404,-628.4231567382812
1688449467.908747,33540,-628.3757934570312
1688449488.3874345,33632,-628.4141235351562
1688449510.5044885,33729,-628.3997802734375
1688449512.5074387,33738,-628.3838500976562
1688449515.2450562,33750,-628.4078979492188
1688449519.5537403,33769,-628.3753051757812
1688449523.390651,33786,-628.39453125
1688449535.8882427,33840,-628.4838256835938
1688449538.6523526,33852,-628.3988037109375
1688449544.24925,33877,-628.3990478515625
1688449552.6931388,33914,-628.3734741210938
1688449576.3437088,34018,-628.4212646484375
1688449580.8488948,34037,-628.4120483398438
1688449604.5769808,34142,-628.4833984375
1688449654.0975187,34363,-628.411376953125
1688449658.7593555,34384,-628.3826904296875
1688449671.110836,34439,-628.3993530273438
1688449690.4367456,34526,-628.5577392578125
1688449690.6871095,34527,-628.386474609375
1688449699.2775545,34565,-628.4086303710938
1688449707.160265,34600,-628.4202270507812
1688449748.909725,34784,-628.3732299804688
1688449825.6452925,35116,-628.5050659179688
1688449839.761333,35178,-628.4177856445312
1688449857.3338294,35255,-628.3872680664062
1688449875.4445164,35334,-628.39208984375
1688449880.2427456,35355,-628.4362182617188
1688449882.087167,35363,-628.3779296875
1688449885.4971988,35378,-628.4264526367188
1688449909.7307208,35484,-628.3790893554688
1688449930.3566012,35574,-628.376953125
1688449974.9243486,35772,-628.3665771484375
1688449976.530547,35779,-628.3857421875
1688449991.5911336,35845,-628.458984375
1688449992.7276914,35850,-628.3776245117188
1688450016.3783774,35954,-628.4120483398438
1688450020.247477,35971,-628.4076538085938
1688450035.4701307,36038,-628.4313354492188
1688450083.0440059,36247,-628.4054565429688
1688450086.6217396,36263,-628.3959350585938
1688450089.615791,36276,-628.3789672851562
1688450103.461067,36337,-628.5468139648438
1688450157.0886073,36570,-628.3546142578125
1688450171.0705576,36630,-628.4378662109375
1688450177.9640062,36660,-628.4651489257812
1688450182.3134115,36679,-628.4588012695312
1688450202.758761,36768,-628.3853149414062
1688450216.300139,36820,-628.4108276367188
1688450224.3470206,36851,-628.4873657226562
1688450238.33722,36908,-628.3877563476562
1688450271.7244923,37054,-628.3656616210938
1688450298.5580056,37170,-628.384765625
1688450306.0630102,37203,-628.4368896484375
1688450364.1538122,37456,-628.4049682617188
1688450371.9854653,37490,-628.4174194335938
1688450435.4320517,37765,-628.3873291015625
1688450460.6602762,37877,-628.3812866210938
1688450531.893666,38193,-628.4264526367188
1688450543.9629824,38248,-628.4248046875
1688450547.1574094,38263,-628.3836059570312
1688450569.7328267,38366,-628.4282836914062
1688450585.8957362,38440,-628.3564453125
1688450589.3935635,38456,-628.4531860351562
1688450591.8035035,38467,-628.357421875
1688450616.6087103,38581,-628.4053344726562
1688450629.8445716,38642,-628.4207153320312
1688450630.0630262,38643,-628.4298706054688
1688450642.7787004,38701,-628.355224609375
1688450647.1537328,38721,-628.3858032226562
1688450673.613267,38841,-628.3629760742188
1688450704.3945549,38982,-628.36865234375
1688450709.602637,39006,-628.430419921875
1688450739.3043747,39142,-628.4376831054688
1688450760.3596506,39238,-628.4144287109375
1688450773.216316,39297,-628.4427490234375
1688450775.5923598,39308,-628.4041748046875
1688450837.720511,39592,-628.3965454101562
1688450862.0598752,39703,-628.3696899414062
1688450868.1286116,39731,-628.4447631835938
1688450879.3175373,39782,-628.391845703125
1688450900.596228,39879,-628.3833618164062
1688450907.418021,39910,-628.4296875
1688450908.4798417,39915,-628.4064331054688
1688450912.167572,39932,-628.398681640625
1688450931.6821609,40021,-628.449462890625
1688450992.8756106,40297,-628.4281005859375
1688451035.2199767,40489,-628.420654296875
1688451037.80946,40501,-628.3638305664062
1688451070.3306243,40648,-628.3917236328125
1688451072.5724785,40658,-628.35009765625
1688451073.8816824,40664,-628.4144287109375
1688451074.7305484,40668,-628.3804931640625
1688451081.5898368,40699,-628.3643798828125
1688451082.0486815,40701,-628.4142456054688
1688451085.0880013,40715,-628.4591064453125
1688451086.3592908,40721,-628.3804931640625
1688451102.306684,40794,-628.4091186523438
1688451156.8524485,41041,-628.4508666992188
1688451176.2525153,41129,-628.441650390625
1688451181.9615872,41155,-628.3639526367188
1688451201.7522447,41245,-628.3547973632812
1688451207.7311776,41272,-628.3786010742188
1688451223.2340608,41342,-628.4430541992188
1688451238.1974034,41410,-628.3824462890625
1688451256.206472,41492,-628.4466552734375
1688451266.71048,41540,-628.4421997070312
1688451270.247044,41556,-628.4031372070312
1688451340.4824305,41872,-628.3668823242188
1688451370.5588639,42007,-628.3883056640625
1688451372.1219351,42014,-628.492919921875
1688451398.9105976,42135,-628.4362182617188
1688451404.1753247,42159,-628.3820190429688
1688451409.4266095,42183,-628.3981323242188
1688451422.8867025,42245,-628.4071655273438
1688451443.7211387,42340,-628.3819580078125
1688451468.0612226,42451,-628.3712158203125
1688451471.9877837,42469,-628.4754028320312
1688451517.991252,42679,-628.3818969726562
1688451539.3827968,42777,-628.3593139648438
1688451580.646666,42965,-628.4224853515625
1688451584.3777654,42982,-628.3994750976562
1688451592.947676,43021,-628.357421875
1688451649.2450697,43279,-628.3670654296875
1688451692.2314398,43475,-628.4207763671875
1688451702.009287,43519,-628.4295654296875
1688451709.7408574,43554,-628.4616088867188
1688451721.5336475,43608,-628.43505859375
1688451728.5270345,43640,-628.4740600585938
1688451744.2868063,43712,-628.3648681640625
1688451750.142603,43739,-628.3831176757812
1688451751.0233903,43743,-628.3900146484375
1688451764.8477218,43806,-628.4327392578125
1688451802.9253116,43977,-628.39892578125
1688451803.8465137,43981,-628.3575439453125
1688451807.0325544,43994,-628.4088134765625
1688451824.7484446,44074,-628.4290161132812
1688451825.6092668,44078,-628.3807983398438
1688451833.5981457,44114,-628.36279296875
1688451853.6430335,44201,-628.3934326171875
1688451855.332777,44208,-628.419677734375
1688451865.5451188,44252,-628.426025390625
1688451877.4989963,44305,-628.3977661132812
1688451942.0026236,44586,-628.3831787109375
1688451955.6034334,44646,-628.4903564453125
1688451974.5220275,44730,-628.3969116210938
1688451990.95767,44803,-628.4036254882812
1688451994.1676118,44817,-628.4054565429688
1688452027.5766761,44965,-628.3518676757812
1688452060.5300827,45105,-628.4244995117188
1688452108.0568333,45311,-628.44921875
1688452110.280789,45320,-628.398681640625
1688452122.4557755,45373,-628.4102783203125
1688452153.3720376,45508,-628.3663330078125
1688452161.5475347,45544,-628.4166870117188
1688452188.2059782,45659,-628.5072021484375
1688452230.501339,45840,-628.4301147460938
1688452238.6525025,45875,-628.4442138671875
1688452274.8274016,46034,-628.4224243164062
1688452287.3904827,46091,-628.3893432617188
1688452304.7719378,46170,-628.3541870117188
1688452312.8487203,46206,-628.3799438476562
1688452337.6192129,46319,-628.4285888671875
1688452341.1623466,46335,-628.3982543945312
1688452358.6436794,46414,-628.404052734375
1688452377.4865475,46500,-628.4073486328125
1688452421.0780535,46697,-628.3916625976562
1688452531.3580601,47199,-628.3815307617188
1688452540.4013824,47242,-628.3876342773438
1688452553.4377081,47302,-628.40625
1688452557.7792978,47322,-628.41357421875
1688452563.4386287,47348,-628.386474609375
1688452583.3138742,47438,-628.4315795898438
1688452595.0666776,47490,-628.3998413085938
1688452608.38384,47550,-628.4081420898438
1688452616.4821017,47586,-628.3862915039062
1688452628.3966608,47639,-628.3920288085938
1688452629.3417678,47643,-628.3909912109375
1688452632.2449036,47656,-628.3692626953125
1688452635.4069312,47670,-628.3946533203125
1688452640.9130054,47694,-628.4076538085938
1688452643.7513273,47706,-628.35986328125
1688452652.4508417,47745,-628.4183959960938
1688452655.6452653,47759,-628.4544677734375
1688452683.5087435,47883,-628.3833618164062
1688452684.9032102,47889,-628.3699340820312
1688452694.2151756,47930,-628.3809814453125
1688452698.2953293,47948,-628.459716796875
1688452703.5530186,47971,-628.3776245117188
1688452727.0433135,48077,-628.4716796875
1688452750.194624,48182,-628.36279296875
1688452753.677845,48198,-628.3568725585938
1688452760.2243767,48228,-628.3650512695312
1688452823.7226272,48515,-628.4213256835938
1688452825.5541067,48523,-628.4207763671875
1688452853.9024634,48651,-628.3802490234375
1688452896.814399,48845,-628.3651123046875
1688452927.3801293,48983,-628.38671875
1688452991.0892751,49273,-628.4287719726562
1688453002.9394019,49327,-628.409423828125
1688453008.490949,49352,-628.43359375
1688453036.2803571,49478,-628.4314575195312
1688453054.087417,49559,-628.4601440429688
1688453067.5483682,49620,-628.3811645507812
1688453071.6899078,49639,-628.3831787109375
1688453152.7841632,50007,-628.3958129882812
